"Source","RelPath","DB","Name","Ext","SizeBytes","Category","Status","Note","Coverage"
"DOCS","BORLNDMM.DLL","","BORLNDMM.DLL","dll","25600","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","bxsdk32.dll","","bxsdk32.dll","dll","987136","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","cirbisa_plus.exe","","cirbisa_plus.exe","exe","2741248","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","cirbisb_plus.exe","","cirbisb_plus.exe","exe","5086208","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","CIRBISC_plus.exe","","CIRBISC_plus.exe","exe","5382656","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","CIRBISK_PLUS.exe","","CIRBISK_PLUS.exe","exe","5135872","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","CIRBISP_PLUS.exe","","CIRBISP_PLUS.exe","exe","5855744","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","DocConverter.exe","","DocConverter.exe","exe","61390224","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","Irbis_Navigator.dll","","Irbis_Navigator.dll","dll","1490944","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","Irbis_Navigator_plus.exe","","Irbis_Navigator_plus.exe","exe","2843648","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","IRBIS_RFID.exe","","IRBIS_RFID.exe","exe","462848","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","irbisbat_plus.exe","","irbisbat_plus.exe","exe","2631680","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","IrbisGbl_PLUS.exe","","IrbisGbl_PLUS.exe","exe","990208","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","Irbistab_PLUS.exe","","Irbistab_PLUS.exe","exe","1171456","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","irbisTabKo_PLUS.exe","","irbisTabKo_PLUS.exe","exe","1623040","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","irbisyaz.dll","","irbisyaz.dll","dll","237664","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","MSPRU32.DLL","","MSPRU32.DLL","dll","138240","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","PCONCOR64.exe","","PCONCOR64.exe","exe","813568","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","Psetini_Client.exe","","Psetini_Client.exe","exe","1104384","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","Psetws_Client.exe","","Psetws_Client.exe","exe","882176","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","QuickPDFDLL0815.dll","","QuickPDFDLL0815.dll","dll","2193408","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","winhlp32.exe","","winhlp32.exe","exe","284160","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","yaz.dll","","yaz.dll","dll","1159168","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"DOCS","CIrbisa.ini","","CIrbisa.ini","ini","335","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","cirbisb.ini","","cirbisb.ini","ini","256","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","Cirbisc.ini","","Cirbisc.ini","ini","2048","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","cirbisk.INI","","cirbisk.INI","ini","233","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","cirbisP.ini","","cirbisP.ini","ini","244","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","Irbis_Navigator.ini","","Irbis_Navigator.ini","ini","1920","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","IRBIS_RFID.INI","","IRBIS_RFID.INI","ini","337","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","IRBIS_RFID_README.TXT","","IRBIS_RFID_README.TXT","txt","1750","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","Irbismsg.txt","","Irbismsg.txt","txt","35764","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","RUSMARC.TXT","","RUSMARC.TXT","txt","799","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","VMARCI.TXT","","VMARCI.TXT","txt","1159","config","done","","config: mechanics+samples (FINDINGS_02 + ARM findings)"
"DOCS","CUSTOM.DIC","","CUSTOM.DIC","dic","1904","data","skipped","","DB data/index file (binary)"
"DOCS","MSSP_RU.LEX","","MSSP_RU.LEX","lex","810497","data","skipped","","DB data/index file (binary)"
"DOCS","irbis64.chm","","irbis64.chm","chm","72727161","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbis64_2022.doc","","irbis64_2022.doc","doc","11661824","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","irbis64_client_dll.doc","","irbis64_client_dll.doc","doc","369152","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","irbisa.chm","","irbisa.chm","chm","1522513","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISA.HLP","","IRBISA.HLP","hlp","63518","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbisb.chm","","irbisb.chm","chm","9051255","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISB.HLP","","IRBISB.HLP","hlp","101228","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbisc.chm","","irbisc.chm","chm","14373506","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISC.HLP","","IRBISC.HLP","hlp","481196","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbiscat.doc","","irbiscat.doc","doc","3262464","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","irbiscat2008.chm","","irbiscat2008.chm","chm","778320","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IrbisCom.doc","","IrbisCom.doc","doc","10107904","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","irbiscom_2008.chm","","irbiscom_2008.chm","chm","1086693","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbisk.chm","","irbisk.chm","chm","18586201","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISK.HLP","","IRBISK.HLP","hlp","140935","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbisKO64.doc","","irbisKO64.doc","doc","7716352","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","IrbisMBA.doc","","IrbisMBA.doc","doc","1201664","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","irbisNavigator.chm","","irbisNavigator.chm","chm","805344","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","irbisp.chm","","irbisp.chm","chm","16733112","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISP.HLP","","IRBISP.HLP","hlp","211429","doc","skipped","","CHM/HLP: extraction unavailable (hh.exe -decompile broken in env); content covered by equivalent .doc (FINDINGS_03/04/05/10)"
"DOCS","IRBISPRL.DOC","","IRBISPRL.DOC","doc","1892352","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","RELEASE_OVERALL.doc","","RELEASE_OVERALL.doc","doc","38289920","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","WBKNJ.doc","","WBKNJ.doc","doc","314880","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","WEBIRBIS64+.DOC","","WEBIRBIS64+.DOC","doc","2191872","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Дополнительные материалы ИРБИС64+.doc","","Дополнительные материалы ИРБИС64+.doc","doc","156160","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Инструкция по переходу на новую версию.doc","","Инструкция по переходу на новую версию.doc","doc","36864","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Инструкция по созданию стат.форм.doc","","Инструкция по созданию стат.форм.doc","doc","88064","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Инструкция по установке ИРБИС64.doc","","Инструкция по установке ИРБИС64.doc","doc","557568","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Комплектатор в Каталогизаторе.docx","","Комплектатор в Каталогизаторе.docx","docx","1252690","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Описание БД биб. мероприятий EVENT.docx","","Описание БД биб. мероприятий EVENT.docx","docx","225671","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Описание БД гуманитарного архива GUAR.doc","","Описание БД гуманитарного архива GUAR.doc","doc","768512","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Первые шаги или Минимальные обязанности администратора ИРБИС64.doc","","Первые шаги или Минимальные обязанности администратора ИРБИС64.doc","doc","198656","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Построение и использование фасетов при поиске.doc","","Построение и использование фасетов при поиске.doc","doc","33280","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","Формат Rich Text.doc","","Формат Rich Text.doc","doc","137216","doc","done","","top-level documentation: converted (Word/PP COM) and analyzed (see FINDINGS_03..14)"
"DOCS","CUSTOM.bak","","CUSTOM.bak","bak","1904","junk","skipped","","backup/temp"
"DOCS","IRBIS64_COPY 17-09-2025.rar","","IRBIS64_COPY 17-09-2025.rar","rar","197064410","other","skipped","ext=rar","distribution archive (not unpacked into repo)"
"INSTALL","BORLNDMM.DLL","","BORLNDMM.DLL","dll","25600","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","CheckPDF.exe","","CheckPDF.exe","exe","356864","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","ftcachebuilder.exe","","ftcachebuilder.exe","exe","635392","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","GenPFT64.exe","","GenPFT64.exe","exe","1709056","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","GENTREE.EXE","","GENTREE.EXE","exe","395264","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","GetUserName.exe","","GetUserName.exe","exe","298496","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","ILFExplorer.exe","","ILFExplorer.exe","exe","851968","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","irbis_server.exe","","irbis_server.exe","exe","776192","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","IRBIS64.dll","","IRBIS64.dll","dll","998400","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","irbis64_client.dll","","irbis64_client.dll","dll","449536","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","IRBISA.exe","","IRBISA.exe","exe","1694720","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","IrbisExtractFullText.exe","","IrbisExtractFullText.exe","exe","607744","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","IrbisGblAdmin.exe","","IrbisGblAdmin.exe","exe","957952","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","IrbisMultiLoad.exe","","IrbisMultiLoad.exe","exe","696832","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","ISO2709Editor.exe","","ISO2709Editor.exe","exe","1552896","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","local_ip.exe","","local_ip.exe","exe","323072","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","msvcp140.dll","","msvcp140.dll","dll","440104","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","pdfspme.dll","","pdfspme.dll","dll","3674112","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","pdftotext.exe","","pdftotext.exe","exe","860160","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","PsetiniDB.exe","","PsetiniDB.exe","exe","1147904","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","Psetws.exe","","Psetws.exe","exe","717824","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","qpdf_irbis.dll","","qpdf_irbis.dll","dll","1545728","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","QRCodeGenerator.exe","","QRCodeGenerator.exe","exe","1347072","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","QuickPDFDLL0815.dll","","QuickPDFDLL0815.dll","dll","2193408","binary","skipped","","executable/DLL - not decompiled (rule 6)"
"INSTALL","server_64.exe","","server_64.exe","exe","932352","binary","skipped","","executable/DLL - not decompiled (rule 6)"
