"Menu","Code","Label","DB"
"vd.mnu","FT","Документы с полным текстом","Deposit"
"vd.mnu","EXT","Документ с внешним объектом","Deposit"
"vd.mnu","KN","Книги в целом","Deposit"
"vd.mnu","05","Однотомное издание","Deposit"
"vd.mnu","03","Многотомное издание","Deposit"
"vd.mnu","04","Продолжающееся издание (ПРИ)","Deposit"
"vd.mnu","07","Монографическая серия (МС)","Deposit"
"vd.mnu","01","Газета (общее описание)","Deposit"
"vd.mnu","01S","Газета (БО)-списаны все комплекты","Deposit"
"vd.mnu","02","Журнал (общее описание)","Deposit"
"vd.mnu","02S","Журнал (БО)-списаны все комплекты","Deposit"
"vd.mnu","NJ","Отдельный номер газеты или журнала, выпуск ПРИ или МС","Deposit"
"vd.mnu","NJ_SPEC01","Номер газеты, описанный под заглавием","Deposit"
"vd.mnu","NJ_SPEC02","Номер журнала, описанный под заглавием","Deposit"
"vd.mnu","NJ_SPEC04","Выпуск продолж. издания, описанный под заглавием","Deposit"
"vd.mnu","NJ_SPEC07","Выпуск монографической серии, описанный под заглавием","Deposit"
"vd.mnu","NJP","Номер газеты или журнала, входящий в подшивку","Deposit"
"vd.mnu","NJK","Подшивка газет или журналов","Deposit"
"vd.mnu","11","Номер газеты/журналы с оглавлением","Deposit"
"vd.mnu","08","Статья из журнала","Deposit"
"vd.mnu","09","Статья из сборника (однотомник)","Deposit"
"vd.mnu","10","Статья из сборника (том многотомника)","Deposit"
"vd.mnu","12","Статья из газеты","Deposit"
"vd.mnu","16","Статья из сборника (выпуск продолж. издания)","Deposit"
"vd.mnu","17","Статья из сборника (выпуск монографической серии)","Deposit"
"vd.mnu","AS","Аналитическая статья (без детализации)","Deposit"
"vd.mnu","UD","Юридический документ","Deposit"
"vd.mnu","Z1","Шрифт Брайля И Муна","Deposit"
"vd.mnu","Z2","Шрифт Брайля (РТШ - рельефно-точечный шрифт)","Deposit"
"vd.mnu","Z3","Шрифт Муна","Deposit"
"vd.mnu","Z4","УШ (укрупненный шрифт)","Deposit"
"vd.mnu","Z5","Тактильное издание","Deposit"
"vd.mnu","Z6","РГП (рельефно-графическое пособие)","Deposit"
"vd.mnu","Za1","Препринт","Deposit"
"vd.mnu","zb","Рукопись (текстовые материалы)","Deposit"
"vd.mnu","ze","Картографические материалы","Deposit"
"vd.mnu","zc","Ноты (музыкальные партитуры)","Deposit"
"vd.mnu","zi","Звукозаписи","Deposit"
"vd.mnu","zg","Кинофильмы, проекционные и видеоматериалы","Deposit"
"vd.mnu","zl","Электронный ресурс","Deposit"
"vd.mnu","zm","Мультимедиа, Комплект","Deposit"
"vd.mnu","zk","2х-мерная графика (иллюстр., чертежи и др.)","Deposit"
"vd.mnu","zr","3х-мерные искусственные объекты и реалии","Deposit"
"vd.mnu","DEL","Экз-ров нет (удалить)","Deposit"
"vd.mnu","DELK","Экз-ров нет (докомплектовать)","Deposit"
"vd.mnu","DELJ","Все свед. о пост. журн. удалены (удалить)","Deposit"
"vd.mnu","DELA","Нет экз-ров ист-ка (удалить аналитическую запись)","Deposit"
"vd.mnu","DOK","Требуется докомплектование","Deposit"
"vd.mnu","MARC","Запись высшего уровня (для удаления)","Deposit"
"vd.mnu","!!","Неполное описание. Требуется доработка","Deposit"
"vd.mnu","SZPRF","Служебная запись - групповая проверка фонда","Deposit"
"vd.mnu","MUSP","Музейный предмет","Deposit"
