"Field","Subfield","Label","EditTypes","InputAid","Occurs","DBs"
"0","A","Дата (в виде ГГГГММДД)","0=text",,"2","2"
"0","B","Логин клиента","0=text",,"2","2"
"0","C","IP-клиента","0=text",,"2","2"
"0","D","БД","0=text",,"1","1"
"1","-","Аналоги выводить","7=yes/no","yesno.mnu","3","3"
"1","*","Тестовое подполе *","0=text",,"1","1"
"1",":","В отладочном варианте?","7=yes/no","noyes.mnu","2","2"
"1","?","Формировать ККО?","7=yes/no","yesno.mnu","3","3"
"1",">","По рабочей программе?","7=yes/no","DANET.mnu","1","1"
"1","0","УНД","0=text",,"1","1"
"1","1","Дисциплина","0=text",,"1","1"
"1","5","Характер документа","1=menu(.mnu); 2=dict(,pref=)",",HD=","3","3"
"1","8","Учебная?","7=yes/no","UchMet.mnu","1","1"
"1","9","Только электронные учебники","7=yes/no","noyes.mnu","2","2"
"1","A","Только учебники (есть поле 691)?","0=text; 1=menu(.mnu); 2=dict(,pref=); 7=yes/no",",NKSU=","16","8"
"1","B","Номер акта","0=text; 2=dict(,pref=)",",NAS=","11","6"
"1","C","Специальность","0=text; 2=dict(,pref=)",",Spec=,","8","5"
"1","D","Дата поступления c...(ГГГГММДД)","0=text",,"7","5"
"1","F","Семестр","0=text",,"4","4"
"1","G","Тип дисциплин","7=yes/no","691g.mnu","6","3"
"1","I","Дисциплина","2=dict(,pref=)","@PRIVATE/DBN/IBIS,DISC=","3","3"
"1","N","Направление","1=menu(.mnu); 2=dict(,pref=)",",Napr=,","4","4"
"1","O","Форма обучения","1=menu(.mnu); 2=dict(,pref=)",",FO=,","4","4"
"1","Q","Нормативный ККО","0=text",,"3","3"
"1","S","Цикл дисциплин","2=dict(,pref=)",",cikld=","3","3"
"1","T","Выделенный фонд","1=menu(.mnu)","Naznac.mnu","3","3"
"1","V","Вид обучения","1=menu(.mnu); 2=dict(,pref=)",",VO=,","4","4"
"1","Z","Год издания с","2=dict(,pref=)","IBIS,G=","3","3"
"2","-","Аналоги выводить?","0=text; 7=yes/no","Yesno.mnu","2","2"
"2","#","Для факультета экземпляры пропорционально студдентаи?","7=yes/no","Yesno.mnu","6","3"
"2",".","Направление вместо специальности?","7=yes/no","Yesno.mnu","6","3"
"2","/","Параметр для ключа сортировки?","1=menu(.mnu)","SortPart2.mnu","1","1"
"2",":","ККО в отладочном варианте?","7=yes/no","Yesno.mnu","12","3"
"2","?","Только электронные учебники?","7=yes/no","noyes.mnu","1","1"
"2","@","Имя справочника для включения","0=text",,"7","3"
"2","=","Для текущего семестра?","7=yes/no","Yesno.mnu","10","3"
"2",">","По рабочей программе?","17","if val(&uf('IMAIN,IdentWPD,1'))=1 then '2,,WP=' else '1,noyes.mnu' fi","3","1"
"2","1","Кол-во ЭУ меньше ...?","0=text; 7=yes/no","Yesno.mnu","4","4"
"2","2","Конечная дата ГГГГММДД","0=text",,"1","1"
"2","3","Кол-во ЭУ для сравнения","0=text",,"3","3"
"2","7","Включить БД из справочника?","7=yes/no","YesnoDB.mnu","7","3"
"2","A","Факультет","0=text; 2=dict(,pref=)",",FAK=","14","5"
"2","B","Кафедра","0=text; 2=dict(,pref=)",",KAFCH=","7","4"
"2","C","Специальность/Профиль","0=text; 2=dict(,pref=)",",Spec=","10","4"
"2","D","Начальная дата (в виде ГГГГММДД)","0=text",,"2","2"
"2","E","Конечная дата (в виде ГГГГММДД)","0=text",,"2","2"
"2","F","Семестр","0=text",,"13","4"
"2","G","Тип - Осн/Доп","7=yes/no","691g.mnu","7","3"
"2","N","Направление","2=dict(,pref=)",",Napr=","9","3"
